"date","away","home","doubleheader","name","team","one","two","three","four","five","six","seven","eight","nine","ten","eleven","twelve","ab","h","rbi","r","id"
"2010-04-11","LG","두산",0,"이병규","LG",2000,0,1011,0,7101,3000,0,5005,0,0,0,0,3,1,1,0,751
"2010-04-13","삼성","LG",0,"이병규","LG",1116,0,7006,0,0,7006,0,7100,0,0,0,0,4,1,0,0,751
"2010-04-14","삼성","LG",0,"이병규","LG",1011,0,3000,2000,0,0,1012,0,0,0,0,0,3,2,1,1,751
"2010-04-15","삼성","LG",0,"이병규","LG",6001,0,0,1019,7302,0,0,4104,0,0,0,0,3,1,0,1,751
"2010-04-16","LG","기아",0,"이병규","LG",2000,0,2000,0,3000,0,2000,3000,0,0,0,0,3,0,0,0,751
"2010-04-17","LG","기아",0,"이병규","LG",7100,7101,0,0,7100,0,7101,7003,0,0,0,0,5,0,0,0,751
"2010-04-20","LG","넥센",0,"이병규","LG",0,2000,0,7100,0,7006,0,0,2000,0,0,0,4,0,0,0,751
"2010-04-22","LG","넥센",0,"이병규","LG",3000,0,7005,7101,0,1300,0,0,3100,0,0,0,3,1,1,1,751
"2010-04-23","한화","LG",0,"이병규","LG",2000,0,7100,0,0,1011,0,0,7006,0,0,0,4,1,0,0,751
"2010-04-24","한화","LG",0,"이병규","LG",7006,0,1301,0,10117003,7104,0,0,0,0,0,0,5,2,3,2,751
"2010-04-25","한화","LG",0,"이병규","LG",3000,0,7006,0,0,2000,1011,0,0,0,0,0,3,1,1,0,751
"2010-04-29","삼성","LG",0,"이병규","LG",0,0,0,0,0,0,0,7005,0,0,0,0,1,0,0,0,751
"2010-04-30","LG","SK",0,"이병규","LG",1018,2000,0,0,2000,0,0,0,0,0,0,0,3,1,0,0,751
"2010-05-01","LG","SK",0,"이병규","LG",7101,0,0,1303,0,7101,0,2000,0,0,0,0,4,1,1,1,751
"2010-05-02","LG","SK",0,"이병규","LG",3000,0,7003,0,4105,1110,0,0,3000,0,0,0,2,1,2,1,751
"2010-05-04","두산","LG",0,"이병규","LG",7005,7006,0,7006,0,2000,0,0,0,0,0,0,4,0,0,0,751
"2010-05-05","두산","LG",0,"이병규","LG",7006,0,0,2000,3000,0,0,3000,0,0,0,0,2,0,0,0,751
"2010-05-06","두산","LG",0,"이병규","LG",7403,1017,0,3000,0,0,3000,0,2000,0,0,0,3,1,0,0,751
"2010-05-07","기아","LG",0,"이병규","LG",0,0,2000,0,3000,0,0,7006,0,0,0,0,2,0,0,0,751
"2010-05-08","기아","LG",0,"이병규","LG",7003,0,2000,0,0,1019,7002,0,2000,0,0,0,5,1,0,1,751
"2010-05-09","기아","LG",0,"이병규","LG",2000,0,7101,0,0,7101,0,0,1011,0,0,0,4,1,0,1,751
"2010-05-11","LG","한화",0,"이병규","LG",0,0,2000,0,0,1300,0,2000,0,0,0,0,3,1,1,1,751
"2010-05-12","LG","한화",0,"이병규","LG",3000,0,7005,0,3000,0,7104,2000,0,0,0,0,3,0,0,1,751
"2010-05-13","LG","한화",0,"이병규","LG",0,0,0,0,0,0,0,7407,0,0,0,0,1,0,0,0,751
"2010-05-14","롯데","LG",0,"이병규","LG",7205,0,7107,0,0,7301,0,6107,0,0,0,0,3,0,0,0,751
"2010-05-15","롯데","LG",0,"이병규","LG",0,0,0,0,0,0,0,0,7006,0,0,0,1,0,0,0,751
"2010-05-16","롯데","LG",0,"이병규","LG",7100,0,7101,1017,0,3000,0,0,0,0,0,0,3,1,0,3,751
"2010-05-19","LG","삼성",0,"이병규","LG",1019,6004,0,1019,7006,0,2000,0,7107,0,0,0,6,2,1,1,751
"2010-05-20","LG","삼성",0,"이병규","LG",1019,1011,0,7005,2000,0,0,2000,0,0,0,0,5,2,0,2,751
"2010-05-21","LG","두산",0,"이병규","LG",0,0,0,0,0,0,0,2000,0,0,0,0,1,0,0,0,751
"2010-05-22","LG","두산",0,"이병규","LG",0,0,0,0,0,7005,0,7107,0,0,0,0,2,0,0,0,751
"2010-05-23","LG","두산",0,"이병규","LG",1017,0,7003,1118,0,1011,0,0,1019,0,0,0,5,4,0,0,751
"2010-05-25","기아","LG",0,"이병규","LG",3100,0,1117,0,6000,7104,0,0,0,0,0,0,3,1,0,0,751
"2010-05-26","기아","LG",0,"이병규","LG",10113000,0,1012,7100,7101,0,0,6001,0,0,0,0,5,2,2,3,751
"2010-05-27","기아","LG",0,"이병규","LG",0,0,0,0,0,0,0,7005,7400,0,0,0,2,0,0,0,751
"2010-05-28","LG","넥센",0,"이병규","LG",0,7405,0,7404,0,1017,3000,0,0,0,0,0,3,1,1,1,751
"2010-05-29","LG","넥센",0,"이병규","LG",3000,0,1205,7102,0,5004,0,1301,0,0,1017,0,4,3,4,3,751
"2010-05-30","LG","넥센",0,"이병규","LG",7100,0,1019,0,0,7104,0,2000,0,0,2000,0,5,1,0,0,751
"2010-06-01","LG","롯데",0,"이병규","LG",1019,0,7402,0,7006,2000,0,1011,0,0,0,0,5,2,1,0,751
"2010-06-02","LG","롯데",0,"이병규","LG",7107,0,1019,0,3000,1017,0,7005,0,0,0,0,4,2,0,3,751
"2010-06-03","LG","롯데",0,"이병규","LG",4000,0,7107,0,0,7101,0,1017,0,0,0,0,4,1,0,0,751
"2010-06-04","SK","LG",0,"이병규","LG",2000,0,2000,0,0,2000,0,0,0,0,0,0,3,0,0,0,751
"2010-06-05","SK","LG",0,"이병규","LG",1013,0,7104,0,7005,0,0,0,0,0,0,0,3,1,0,1,751
"2010-06-06","SK","LG",0,"이병규","LG",0,0,0,0,0,0,0,0,0,0,0,7101,1,0,0,0,751
"2010-06-08","한화","LG",0,"이병규","LG",0,0,0,0,0,0,7004,0,0,0,0,0,1,0,0,0,751
"2010-06-09","한화","LG",0,"이병규","LG",3000,0,3000,0,7003,0,0,2000,0,0,0,0,2,0,0,0,751
"2010-06-10","한화","LG",0,"이병규","LG",7006,0,1017,3000,0,1019,2000,0,0,0,0,0,4,2,0,2,751
"2010-06-11","LG","기아",0,"이병규","LG",7002,0,0,7101,0,7101,0,0,0,0,0,0,3,0,0,0,751
"2010-06-12","LG","기아",0,"이병규","LG",7402,0,0,1017,0,0,0,0,0,0,0,0,2,1,0,1,751
"2010-06-13","LG","기아",0,"이병규","LG",0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,751
"2010-06-15","두산","LG",0,"이병규","LG",0,0,0,0,0,1017,0,0,0,0,0,0,1,1,0,0,751
"2010-06-16","두산","LG",0,"이병규","LG",0,1012,0,2000,1019,0,1019,0,0,0,0,0,4,3,2,1,751
"2010-06-17","두산","LG",0,"이병규","LG",7006,0,1018,0,7100,0,7100,0,0,0,0,0,4,1,0,0,751
"2010-06-18","롯데","LG",0,"이병규","LG",0,3000,1018,0,1118,0,7101,0,0,0,0,0,3,2,1,2,751
"2010-06-20","롯데","LG",0,"이병규","LG",0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,751
"2010-07-09","두산","LG",0,"이병규","LG",0,0,0,0,0,0,1301,1116,0,0,0,0,2,2,4,1,751
"2010-07-10","두산","LG",0,"이병규","LG",3000,3000,0,7006,7005,3100,0,0,0,0,0,0,2,0,0,2,751
"2010-07-11","두산","LG",0,"이병규","LG",7100,0,3000,0,7214,0,0,7005,0,0,0,0,3,0,0,0,751
"2010-07-14","기아","LG",0,"이병규","LG",7104,0,7104,0,7005,0,7001,0,0,0,0,0,4,0,0,0,751
"2010-07-15","기아","LG",0,"이병규","LG",0,0,0,0,0,2000,0,0,0,0,0,0,1,0,0,0,751
"2010-07-17","LG","삼성",0,"이병규","LG",0,0,0,0,0,0,0,0,7104,0,0,7102,2,0,0,0,751
"2010-07-20","LG","두산",0,"이병규","LG",0,7006,0,0,7101,0,7003,0,7400,0,0,0,4,0,0,0,751
"2010-07-21","LG","두산",0,"이병규","LG",1011,0,1019,0,7100,0,2000,0,0,0,0,0,4,2,0,0,751
"2010-07-22","LG","두산",0,"이병규","LG",2000,0,3000,0,1011,0,0,2000,0,0,0,0,3,1,0,0,751
"2010-07-27","SK","LG",0,"이병규","LG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751
"2010-07-28","SK","LG",0,"이병규","LG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751
"2010-07-29","SK","LG",0,"이병규","LG",7100,0,1111,0,0,7301,0,7006,0,0,0,0,4,1,0,0,751
"2010-07-30","LG","롯데",0,"이병규","LG",2000,1019,0,7101,0,1117,7005,0,1303,0,0,0,6,3,3,2,751
"2010-07-31","LG","롯데",0,"이병규","LG",7005,0,7006,0,0,7005,0,0,0,0,0,0,3,0,0,0,751
"2010-08-01","LG","롯데",0,"이병규","LG",1017,0,1303,1116,0,7100,0,0,7003,0,0,0,5,3,2,1,751
"2010-08-03","LG","기아",0,"이병규","LG",0,0,0,0,0,0,7107,0,7100,0,0,0,2,0,0,0,751
"2010-08-04","LG","기아",0,"이병규","LG",0,0,0,0,0,0,0,1017,1111,0,0,0,2,2,1,2,751
"2010-08-05","LG","기아",0,"이병규","LG",0,0,0,0,0,0,0,0,7400,0,0,0,1,0,0,0,751
"2010-08-06","삼성","LG",0,"이병규","LG",0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,751
"2010-08-07","삼성","LG",0,"이병규","LG",0,0,0,0,0,0,0,2000,0,0,0,0,1,0,0,0,751
"2010-08-08","삼성","LG",0,"이병규","LG",0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,751
"2010-08-11","LG","SK",0,"이병규","LG",0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,751
"2010-08-13","LG","넥센",0,"이병규","LG",0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,751
"2010-08-14","LG","넥센",0,"이병규","LG",0,0,0,0,0,0,0,0,2000,0,0,0,1,0,0,0,751
"2010-08-15","LG","넥센",0,"이병규","LG",7100,0,0,7005,0,1117,0,1300,0,3000,0,0,4,2,1,1,751
"2010-08-18","한화","LG",0,"이병규","LG",7005,5002,0,1019,0,7102,2000,0,0,0,0,0,4,1,1,0,751
"2010-08-19","한화","LG",0,"이병규","LG",1304,2000,0,3000,7104,0,1001,0,0,0,0,0,4,2,3,3,751
"2010-08-20","넥센","LG",0,"이병규","LG",0,7100,2000,0,0,7005,0,7005,0,0,0,0,4,0,0,0,751
"2010-08-21","넥센","LG",0,"이병규","LG",0,7006,0,1011,0,1019,7004,0,0,0,0,0,4,2,0,0,751
"2010-08-22","넥센","LG",0,"이병규","LG",2000,0,1118,7005,0,0,2000,0,0,0,0,0,4,1,1,1,751
"2010-08-24","LG","두산",0,"이병규","LG",0,7102,0,1302,0,0,0,0,0,0,0,0,2,1,1,1,751
"2010-08-25","LG","기아",0,"이병규","LG",1019,0,1011,0,0,7005,0,1017,7004,0,0,0,5,3,2,1,751
"2010-08-28","삼성","LG",0,"이병규","LG",0,7100,0,0,2000,0,7206,0,0,0,0,0,3,0,0,0,751
"2010-08-31","넥센","LG",0,"이병규","LG",3000,0,2000,0,4105,2000,0,0,0,0,0,0,2,0,0,0,751
"2010-09-01","LG","롯데",0,"이병규","LG",1021,0,1018,0,1303,0,4104,0,7220,0,0,0,4,3,2,1,751
"2010-09-04","LG","SK",0,"이병규","LG",0,2000,0,0,7100,0,0,2000,0,0,0,0,3,0,0,0,751
"2010-09-10","LG","삼성",0,"이병규","LG",0,0,0,0,0,7104,0,0,0,0,0,0,1,0,0,0,751
"2010-09-12","LG","삼성",0,"이병규","LG",0,1116,7100,0,2000,0,1017,0,7407,0,0,0,5,2,1,1,751
"2010-09-14","한화","LG",0,"이병규","LG",7004,0,1017,7101,0,3000,0,2000,0,0,0,0,4,1,0,2,751
"2010-09-16","SK","LG",0,"이병규","LG",0,0,0,0,0,3000,7006,0,0,3200,0,7405,2,0,1,1,751
"2010-09-17","SK","LG",0,"이병규","LG",1018,2000,0,7104,0,7003,0,0,0,0,0,0,4,1,1,1,751
"2010-09-18","기아","LG",0,"이병규","LG",0,7100,1019,0,1017,0,7005,7107,0,0,0,0,5,2,1,0,751
"2010-09-19","기아","LG",0,"이병규","LG",0,3000,3000,0,0,7005,0,1017,0,1111,1117,0,4,3,2,1,751
"2010-09-21","LG","삼성",0,"이병규","LG",2000,0,0,1117,7101,0,1017,0,0,0,0,0,4,2,0,1,751
"2010-09-22","LG","넥센",0,"이병규","LG",0,3000,0,7104,0,7402,2000,0,3000,0,0,0,3,0,0,0,751
"2010-09-23","LG","SK",0,"이병규","LG",0,7104,0,7107,0,0,7003,0,7005,0,0,0,4,0,0,0,751
"2010-09-24","LG","SK",0,"이병규","LG",2000,0,1019,0,0,7101,0,0,7006,0,0,0,4,1,1,0,751
"2010-09-25","삼성","LG",0,"이병규","LG",0,7100,0,1116,0,7101,0,7407,0,7006,0,0,5,1,2,0,751
"2011-08-23","넥센","LG",0,"이병규","LG",0,0,0,0,0,0,0,7101,0,7006,0,0,2,0,0,0,751
"2011-08-24","넥센","LG",0,"이병규","LG",0,7206,0,1012,2000,0,0,2000,0,0,0,0,4,1,0,0,751
"2011-08-25","넥센","LG",0,"이병규","LG",0,1017,5002,0,3000,0,7302,0,7206,0,0,0,3,1,1,1,751
"2011-08-26","LG","한화",0,"이병규","LG",0,7101,0,2000,0,0,2000,0,2000,0,3000,0,4,0,0,0,751
"2011-08-27","LG","한화",0,"이병규","LG",7005,3000,0,1019,0,3000,0,3000,0,0,0,0,2,1,0,0,751
"2011-08-28","LG","한화",0,"이병규","LG",7005,0,0,1301,0,3000,3000,0,0,0,0,0,2,1,1,2,751
"2011-08-30","LG","SK",0,"이병규","LG",0,2000,0,2000,7100,0,1019,0,1117,0,0,0,5,2,1,1,751
"2011-08-31","LG","SK",0,"이병규","LG",0,1011,0,2000,7005,0,0,7006,0,0,0,0,4,1,0,0,751
"2011-09-01","LG","SK",0,"이병규","LG",2000,0,1017,0,2000,0,1021,0,1303,0,0,0,5,3,1,2,751
"2011-09-02","롯데","LG",0,"이병규","LG",0,7002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,751
"2011-09-03","롯데","LG",0,"이병규","LG",0,0,0,0,0,0,0,0,2000,0,0,0,1,0,0,0,751
"2011-09-04","롯데","LG",0,"이병규","LG",0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,751
"2011-09-06","두산","LG",0,"이병규","LG",0,7101,0,3000,0,3100,0,3000,0,0,0,0,1,0,0,0,751
"2011-09-07","두산","LG",0,"이병규","LG",1017,0,0,1019,3000,0,2000,0,0,0,0,0,3,2,1,1,751
"2011-09-08","두산","LG",0,"이병규","LG",0,7005,0,0,3000,0,2000,2000,0,0,0,0,3,0,0,0,751
"2011-09-10","LG","삼성",0,"이병규","LG",0,0,0,0,0,0,0,7101,0,0,0,0,1,0,0,0,751
"2011-09-11","LG","삼성",0,"이병규","LG",0,0,0,0,0,0,0,0,2000,0,0,0,1,0,0,0,751
"2011-09-13","두산","LG",0,"이병규","LG",2000,0,1110,0,3000,0,0,2000,0,0,0,0,3,1,0,0,751
"2011-09-14","두산","LG",0,"이병규","LG",1304,0,0,1017,0,2000,7006,0,0,0,0,0,4,2,3,1,751
"2011-09-15","SK","LG",0,"이병규","LG",0,0,0,0,0,0,0,0,7003,0,0,0,1,0,0,0,751
"2011-09-16","SK","LG",0,"이병규","LG",0,7100,0,0,2000,1017,0,4105,0,0,0,0,3,1,0,0,751
"2011-09-18","LG","기아",0,"이병규","LG",3000,0,1011,0,0,7005,0,2000,0,0,7101,0,4,1,0,1,751
"2011-09-20","넥센","LG",0,"이병규","LG",3000,0,0,1019,0,2000,0,2000,0,0,0,0,3,1,0,1,751
"2011-09-21","넥센","LG",0,"이병규","LG",2000,0,7102,0,1011,0,2000,0,0,0,0,0,4,1,0,0,751
"2011-09-24","SK","LG",0,"이병규","LG",0,0,0,0,0,0,0,1301,0,0,0,0,1,1,3,1,751
"2011-09-25","SK","LG",0,"이병규","LG",0,0,0,0,0,2000,0,0,0,0,0,0,1,0,0,0,751
"2011-09-29","LG","넥센",0,"이병규","LG",0,7006,0,7001,0,2000,0,0,7101,0,0,0,4,0,0,0,751
"2011-10-01","LG","두산",0,"이병규","LG",0,3000,0,7005,0,7005,0,2000,0,0,0,0,3,0,0,1,751
"2011-10-02","LG","두산",0,"이병규","LG",7006,0,0,2000,0,7101,0,0,2000,0,0,0,4,0,0,0,751
"2011-10-03","LG","두산",0,"이병규","LG",7100,0,3000,0,0,2000,0,0,0,0,0,0,2,0,0,0,751
"2011-10-04","삼성","LG",0,"이병규","LG",7003,0,7100,0,1017,0,3000,0,0,0,0,0,3,1,2,1,751
"2011-10-05","삼성","LG",0,"이병규","LG",5005,0,7006,0,7107,0,0,3000,0,0,2000,0,3,0,1,0,751
"2011-10-06","삼성","LG",0,"이병규","LG",0,2000,0,3000,0,7006,0,0,1116,0,0,0,3,1,0,0,751
"2012-04-11","롯데","LG",0,"이병규","LG",0,0,0,0,0,0,0,2000,0,0,0,0,1,0,0,0,751
"2012-04-12","롯데","LG",0,"이병규","LG",0,6002,0,7101,0,2000,0,0,0,0,0,0,3,0,0,0,751
"2012-04-13","기아","LG",0,"이병규","LG",0,2000,0,2000,0,7402,0,7104,0,0,0,0,4,0,0,0,751
"2012-04-14","기아","LG",0,"이병규","LG",0,1011,0,7100,7405,0,0,2000,1017,0,0,0,5,2,0,0,751
"2012-04-15","기아","LG",0,"이병규","LG",0,7107,0,7101,0,1023,0,1116,0,0,0,0,4,2,0,0,751
"2012-04-17","LG","한화",0,"이병규","LG",0,1013,0,3000,0,7104,0,1017,0,0,0,0,3,2,0,1,751
"2012-04-18","LG","한화",0,"이병규","LG",0,1116,0,7006,0,0,7101,1116,0,0,0,0,4,2,1,0,751
"2012-04-19","LG","한화",0,"이병규","LG",0,0,0,0,0,0,0,0,0,1018,0,0,1,1,1,0,751
"2012-04-20","SK","LG",0,"이병규","LG",7005,0,3000,0,1011,0,2000,0,0,0,0,0,3,1,0,1,751
"2012-04-24","넥센","LG",0,"이병규","LG",3000,0,0,7006,1116,0,7107,0,3000,0,0,0,3,1,1,0,751
"2012-04-26","넥센","LG",0,"이병규","LG",1017,0,0,2000,0,7005,0,3000,0,0,0,0,3,1,0,0,751
"2012-04-27","LG","롯데",0,"이병규","LG",0,1018,1011,1011,0,7101,0,1013,0,0,0,0,5,4,2,0,751
"2012-04-28","LG","롯데",0,"이병규","LG",2000,0,2000,0,7107,0,0,2000,0,0,0,0,4,0,0,0,751
"2012-05-01","한화","LG",0,"이병규","LG",0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,751
"2012-05-02","한화","LG",0,"이병규","LG",0,0,0,0,0,1116,0,1110,0,0,0,0,2,2,0,1,751
"2012-05-03","한화","LG",0,"이병규","LG",2000,0,2000,0,0,7405,0,2000,0,0,0,0,4,0,0,0,751
"2012-05-04","두산","LG",0,"이병규","LG",7101,0,1017,0,7003,0,3000,0,0,0,0,0,3,1,1,0,751
"2012-05-05","두산","LG",0,"이병규","LG",7100,0,3000,0,7201,0,7101,0,0,0,0,0,3,0,0,0,751
"2012-05-18","LG","두산",0,"이병규","LG",7102,0,7104,0,0,1019,0,3000,0,0,0,0,3,1,1,0,751
"2012-05-19","LG","두산",0,"이병규","LG",4104,0,3000,0,7003,0,1017,0,0,0,0,0,2,1,0,1,751
"2012-05-20","LG","두산",0,"이병규","LG",0,1019,2000,0,0,7005,0,1019,0,2000,0,0,5,2,0,1,751
"2012-05-22","넥센","LG",0,"이병규","LG",0,7102,0,7002,0,0,1111,0,1013,0,0,0,4,2,0,0,751
"2012-05-23","넥센","LG",0,"이병규","LG",0,3000,0,1019,7006,0,0,1019,0,0,0,0,3,2,0,1,751
"2012-05-24","넥센","LG",0,"이병규","LG",1017,0,3000,0,1110,0,3000,0,0,0,0,0,2,2,0,1,751
"2012-05-25","LG","기아",0,"이병규","LG",7304,0,0,7102,0,2000,0,2000,0,0,0,0,4,0,0,0,751
"2012-05-26","LG","기아",0,"이병규","LG",1111,0,3000,0,7006,0,7300,3000,0,0,0,0,3,1,0,1,751
"2012-05-27","LG","기아",0,"이병규","LG",7006,0,1019,0,1117,0,1017,0,1019,0,0,0,5,4,0,1,751
"2012-05-29","LG","롯데",0,"이병규","LG",1018,0,7005,0,1017,7107,0,3000,0,0,0,0,4,2,0,0,751
"2012-06-01","한화","LG",0,"이병규","LG",2000,2000,0,0,3000,0,1011,0,3000,0,0,0,3,1,0,0,751
"2012-06-02","한화","LG",0,"이병규","LG",3000,0,1017,2000,0,0,0,0,0,0,0,0,2,1,0,0,751
"2012-06-03","한화","LG",0,"이병규","LG",0,0,0,0,3000,0,0,3000,0,0,0,0,0,0,0,0,751
"2012-06-05","LG","넥센",0,"이병규","LG",3000,0,3000,0,3000,0,2000,0,0,0,0,0,1,0,0,0,751
"2012-06-06","LG","넥센",0,"이병규","LG",7100,0,3000,0,7006,0,0,2000,0,0,0,0,3,0,0,1,751
